ID;Fornecedor;Série;Número;Parc.;Vencimento;CCL;ObservaçãoOriginal;PLACA TRATATIVA;OPERAÇÃO;TIPO DO VEÍCULO;OBSERVAÇÃO DEFINITIVA;DATA DEFINITIVA MULTA;DATA CRIPTOGRAFADA;Vlr. Total;Vlr. Baixa;Vlr. Saldo;Mês / Ano Venc.
345453;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;I;1200860;01/01/2025;03/02/2025;MULTAS DE TRÂNSITO;CUL6I65- TRANSITAR COM EXCESSO DE PESO- 18/10/2025 09:33;CUL6I65;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;TRANSITAR COM EXCESSO DE PESO;18/10/2025;45948;261,6;261,6;0;01/02/2025
351317;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;NIC;1704895;01/01/2025;17/02/2025;MULTAS DE TRÂNSITO;FUH1945- MULTA NIC- 14/01/2025 01:44;FUH1945;COCAMAR COOPERATIVA AGROINDUSTRIAL 79.114.450/0293-09;;MULTA NIC;14/01/2025;45671;156,19;156,19;0;01/02/2025
351612;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;508915;01/01/2025;26/02/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;DDI5G52- ULTRAPASSAR PELA CONTRAMÃO- 05/01/2025 10:30;DDI5G52;LAR COOPERATIVA AGROINDUSTRIAL 77.752.293/0194-50;;ULTRAPASSAR PELA CONTRAMÃO;05/01/2025;45662;880,41;880,41;0;01/02/2025
351943;TRANSPORTES MAROSO LTDA;1AA;509022;01/01/2025;25/03/2025;MULTAS DE TRÂNSITO;FNY9B71- MULTA NIC- 03/01/2025 08/10;FNY9B71;MARFRIG - PROMISSAO I 03.853.896/0003-01;;MULTA NIC;03/01/2025;45660;352,17;352,17;0;01/03/2025
351968;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1DH;1402391;01/01/2025;25/02/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FXT4I54- DEIXAR DE A. AREAS DESTIN. A PESAG DE VEIC- 03/01/2025 09:19;FXT4I54;MINERVA S.A. 67.620.377/0003-86;;DEIXAR DE A. AREAS DESTIN. A PESAG DE VEIC;03/01/2025;45660;117,13;117,13;0;01/02/2025
353171;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;S;43631110;01/01/2025;27/02/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;SFG0J32- TRANSITAR EM VEL SUP A MAX PERMIT- 04/02/2025 16:39;SFG0J32;JBS S/A - APUCARANA 02.916.265/0385-66;;TRANSITAR EM VEL SUP A MAX PERMIT;04/02/2025;45692;78,1;78,1;0;01/02/2025
353516;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1DH;2139361;01/01/2025;28/02/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;GFM9E15- DEIXAR DE CONSERVAR O VEICULO NA FAIXA DESTIN- 09/01/2025 06:54;GFM9E15;CONCEN LACTEOS 20.161.429/0001-78;;DEIXAR DE CONSERVAR O VEICULO NA FAIXA DESTIN;09/01/2025;45666;78,1;78,1;0;01/02/2025
356862;SSP DEPARTAMENTO ESTADUAL DE TRANSITO DE MS;NMS;2504903;01/01/2025;12/03/2025;MULTAS DE TRÂNSITO;TAU9H28- MULTA NIC- 30/01/2025 18:21;TAU9H28;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;MULTA NIC;30/01/2025;45687;156,19;156,19;0;01/03/2025
357535;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;X;3439997;01/01/2025;20/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;ENN9I94- TRANSITAR EM VEL SUP A MAX PERMIT 20%- 11/01/2025 13:48;ENN9I94;AGIONMIX 34.516.886/0001-42;;TRANSITAR EM VEL SUP A MAX PERMIT 20%;11/01/2025;45668;78,1;78,1;0;01/03/2025
357867;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;S;11593;01/01/2025;17/03/2025;MULTAS DE TRÂNSITO;GAY3G79- AVANÇAR SINAL VERMELHO- 27/01/2025 10:34;GAY3G79;TEXTIL CANATIBA LTDA 56.723.091/0001-48;;AVANÇAR SINAL VERMELHO;27/01/2025;45684;176,08;176,08;0;01/03/2025
357870;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;R;420439;01/01/2025;17/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;BEH7B25- AVANÇAR SINAL VERMELHO - 23/01/2025 05:35;BEH7B25;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;AVANÇAR SINAL VERMELHO;23/01/2025;45680;176,08;176,08;0;01/03/2025
358396;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;N;1125385;01/01/2025;18/03/2025;MULTAS DE TRÂNSITO;BAW7221- CONDUZIR O VEICUL. COM EQUIP OBRIG EM DESACORD- 13/01/2025;BAW7221;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;CONDUZIR O VEICUL. COM EQUIP OBRIG EM DESACORD;13/01/2025;45670;156,18;156,18;0;01/03/2025
359130;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES;S;43908696;01/01/2025;20/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FEG4G11- TRANSITAR EM VEL SUP A MAX 20% DESC RESC- 25/02/2025 09:52;FEG4G11;NÃO LOCALIZADA;;TRANSITAR EM VEL SUP A MAX 20% DESC RESC;25/02/2025;45713;104,13;104,13;0;01/03/2025
359472;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;605904;01/01/2025;21/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;TAL4J21- DEIXAR DE ADENTRAR AREAS DESTIN PESAG- 03/02/2025 15:02;TAL4J21;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;DEIXAR DE ADENTRAR AREAS DESTIN PESAG;03/02/2025;45691;117,14;117,14;0;01/03/2025
359805;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1L;7983132;01/01/2025;24/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FPE2C57- DEIX DE ADENTRAR AS AREAS DESTINADAS- DESC RESCISÃO-13/08 08:26;FPE2C57;JBS S/A - BAURU 02.916.265/0306-62;;DEIX DE ADENTRAR AS AREAS DESTINADAS DESC RESCISÃO;13/08/2025;45882;202,9;202,9;0;01/03/2025
360550;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;M;28508;01/01/2025;28/03/2025;MULTAS DE TRÂNSITO;DUL4F91- DESOBEDECER AS ORDENS EMANADAS- 27/01/2025 16:00;DUL4F91;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;DESOBEDECER AS ORDENS EMANADAS;27/01/2025;45684;117,13;117,13;0;01/03/2025
360556;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;I;1401237;01/01/2025;26/03/2025;MULTAS DE TRÂNSITO;FUP1C56- EXCESSO DE PESO- 07/01/2025 07:55;FUP1C56;JBS S/A - APUCARANA 02.916.265/0385-66;;EXCESSO DE PESO;07/01/2025;45664;108,38;108,38;0;01/03/2025
360559;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;2001941;01/01/2025;26/03/2025;MULTAS DE TRÂNSITO;DOT4J28- EXCESSO DE PESO- 09/01/2025 08:19;DOT4J28;BELLO ALIMENTOS LTDA - CAMPO GRANDE 08.201.770/0004-57;;EXCESSO DE PESO;09/01/2025;45666;997,89;997,89;0;01/03/2025
360569;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;N;1069252;01/01/2025;26/03/2025;MULTAS DE TRÂNSITO;GAY5I52- ESTACIONAR NOS ACOSTAMENTOS- 08/01/2025 09:12;GAY5I52;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;ESTACIONAR NOS ACOSTAMENTOS;08/01/2025;45665;53,02;53,02;0;01/03/2025
360587;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;N;710181;01/01/2025;26/03/2025;MULTAS DE TRÂNSITO;TAZ9C80- CONDUZIR O VEICULO COM EQUIP OBRIG- 28/01/2025 11:10;TAZ9C80;NÃO LOCALIZADA;;CONDUZIR O VEICULO COM EQUIP OBRIG;28/01/2025;45685;156,18;156,18;0;01/03/2025
360589;DNIT-DEPARTAMENTO NACIONAL DE INFRAEST DE TRANSPORTES;N;1687433;01/01/2025;26/03/2025;MULTAS DE TRÂNSITO;FJI2I15- MULTA NIC- 22/01/2025 09:00;FJI2I15;C.VALE - COOPERATIVA AGROINDUSTRIAL 77.863.223/0043-66;;MULTA NIC;22/01/2025;45679;156,19;156,19;0;01/03/2025
360855;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;5001510;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;DTE7G03- EXCESSO DE PESO- 05/02/2025 14:06;DTE7G03;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;EXCESSO DE PESO;05/02/2025;45693;116,9;116,9;0;01/03/2025
360859;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;2002157;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;FDS7A46- EXCESSO DE PESO- 30/01/2025 18:48;FDS7A46;AB BRASIL IND E COM DE ALIM LTDA 60.934.551/0009-01;;EXCESSO DE PESO;30/01/2025;45687;116,9;116,9;0;01/03/2025
360866;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;586364;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;SFA3B21- CONDUZIR VEIC C/ DEFEITO NO SIST DE ILUMINAÇÃO- 17/01/2025 12:34;SFA3B21;NÃO LOCALIZADA;;CONDUZIR VEIC;17/01/2025;45674;78,1;78,1;0;01/03/2025
360895;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;Z;577651;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;CSK8H95- CONDUZIR VEIC C/ DEFEITP NO SIST DE ILUMIN- 16/01/2025 19:26;CSK8H95;COMPANHIA DE ALIMENTOS UNIAVES 07.144.671/0001-75;;CONDUZIR VEIC;16/01/2025;45673;78,1;78,1;0;01/03/2025
360923;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;I;1401377;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;FUP1C56- EXCESSO DE PESO- 20/01/2025 08:16;FUP1C56;JBS S/A - APUCARANA 02.916.265/0385-66;;EXCESSO DE PESO;20/01/2025;45677;112,64;112,64;0;01/03/2025
360926;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;I;1200961;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;GAY7E49- EXCESSO DE PESO- 18/01/2025 12:00;GAY7E49;LAR COOPERATIVA AGROINDUSTRIAL - ENTRE RIOS DO OESTE 77.752.293/0153-81;;EXCESSO DE PESO;18/01/2025;45675;385,02;385,02;0;01/03/2025
360929;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;6000277;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;EYN3A56- TRANSITAR COM EXCESSO DE PESO- 29/01/2025;EYN3A56;BRF S.A. 01.838.723/0105-13;;TRANSITAR COM EXCESSO DE PESO;29/01/2025;45686;116,9;116,9;0;01/03/2025
360932;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;5001481;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;GFA0J67- TRANSITAR COM EXCESSO DE PESO- 15/01/2025 11:21;GFA0J67;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;TRANSITAR COM EXCESSO DE PESO;15/01/2025;45672;495,68;495,68;0;01/03/2025
360935;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;J;5001455;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;DUR8E71- TRANSITAR EXCESSO DE PESO- 02/01/2025 11:04;DUR8E71;DSM PRODUTOS NUTRICIONAIS BRAS 56.992.951/0001-49;;TRANSITAR EXCESSO DE PESO;02/01/2025;45659;125,41;125,41;0;01/03/2025
360939;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANA;R;5216311;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;TAP0H94- TRANSITAR EM LOCAL/HOR NÃO PERMIT- 03/01/2025 17:24;TAP0H94;NÃO LOCALIZADA;;TRANSITAR EM LOC;03/01/2025;45660;131,46;131,46;0;01/03/2025
360970;DEPARTAMENTO DE ESTRADAS DE RODAGEM;R;5209131;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;TAP1C32- TRANSITAR EM LOCAL/HOR NÃO PERMIT - 02/01/2025 07:31;TAP1C32;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;02/01/2025;45659;131,46;131,46;0;01/03/2025
360973;DEPARTAMENTO DE ESTRADAS DE RODAGEM;R;5216491;01/01/2025;27/03/2025;MULTAS DE TRÂNSITO;TAP0H54- TRANSITAR EM LOCAL/HOR NÃO PERMIT- 03/01/2025 07:06;TAP0H54;JBS SA - INDAIATUBA 02.916.265/0391-04;;TRANSITAR EM LOC;03/01/2025;45660;131,46;131,46;0;01/03/2025
361377;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;N;1143080;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO;SFG8I48- CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVAÇÃO- 22/01/2025 08:48;SFG8I48;JBS S/A - DIAMANTINO 02.916.265/0104-75;;CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVAÇÃO;22/01/2025;45679;156,18;156,18;0;01/03/2025
361388;MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;M;28511;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO;BAW7221- DESOBEDECER AS ORDENS EMANADAS DA AUTORIDADE- 27/01/2025 16H;BAW7221;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;DESOBEDECER AS ORDENS EMANADAS DA AUTORIDADE;27/01/2025;45684;117,13;117,13;0;01/03/2025
361392;DEPARTAMENTO ESTADUAL DE TRANSITO;D;7916182;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO;FSP9D71- MULTA NIC- 07/01/2025 15:00;FSP9D71;LAR COOPERATIVA AGROINDUSTRIAL ( UIR BOM JESUS) 77.752.293/0146-52;;MULTA NIC;07/01/2025;45664;156,19;156,19;0;01/03/2025
361448;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1Q;6134877;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FOK6J94- TRANSITAR EM VELOCIDADE SUP A MAX PERMIT- 04/01/2025 15:48;FOK6J94;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;TRANSITAR EM VELOCIDADE SUP A MAX PERMIT;04/01/2025;45661;78,1;78,1;0;01/03/2025
361453;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1Y;6792592;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO CONTA MOTORISTA;FII5E61- DEIX DE ADENTRAR A AREAS DESTINADAS A PESAG- 13/01/2025 09:58;FII5E61;LAR COOPERATIVA AGROINDUSTRIAL - MATELANDIA 77.752.293/0060-48;;DEIX DE ADENTRAR A AREAS DESTINADAS A PESAG;13/01/2025;45670;117,14;117,14;0;01/03/2025
361462;DEPARTAMENTO DE ESTRADAS DE RODAGEM;1AA;930792;01/01/2025;31/03/2025;MULTAS DE TRÂNSITO;GFL5I02- MULTA POR NÃO IDENTIFICAÇÃO- 10/01/2025 08:50;GFL5I02;AB BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA 60.934.551/0004-05;;MULTA POR NÃO IDENTIFICAÇÃO;10/01/2025;45667;156,2;156,2;0;01/03/2025
